Stage,Algorithm,Accuracy,Precision,Recall,F1
1_Baseline,Logistic Regression,0.9150743099787686,0.9499007826975253,0.9111492234274609,0.9252932763194581
1_Baseline,MLP,0.9278131634819533,0.9567504498038755,0.9257607300925352,0.9367273416127476
1_Baseline,Decision Tree,0.9065817409766455,0.9304715714832504,0.9056402218068769,0.9151729549934341
1_Baseline,Naive Bayes,0.8881811748053786,0.9364540351398924,0.8843780065548815,0.8998398540574459
2_Scaled,Logistic Regression,0.9179051663128096,0.9527815230925392,0.9138805452665414,0.9280440508343331
2_Scaled,MLP,0.924274593064402,0.9481423896910538,0.9226922187583669,0.932337529158416
2_Scaled,Decision Tree,0.9065817409766455,0.9304715714832504,0.9056402218068769,0.9151729549934341
2_Scaled,Naive Bayes,0.8860580325548478,0.9363607678728287,0.8818513896789876,0.8972366400136684
3_Bigrams,Logistic Regression,0.9150743099787686,0.9506789464242946,0.9103890882923258,0.9251668617731796
3_Bigrams,MLP,0.9263977353149327,0.9521435930043106,0.9241362739185796,0.9341564252993206
3_Bigrams,Decision Tree,0.9058740268931351,0.9295285891700036,0.9050578167417133,0.9143523097309038
3_Bigrams,Naive Bayes,0.89171974522293,0.9419296079768497,0.8865542966007144,0.9028730804585596
4_Tuned,Logistic Regression,0.921443736730361,0.9511275140908942,0.9189838320113399,0.9307353990553022
4_Tuned,Decision Tree,0.9122434536447275,0.9286485523030692,0.9129620482568873,0.9177569470733294
4_Tuned,MLP,0.9263977353149327,0.9521435930043106,0.9241362739185796,0.9341564252993206
4_Tuned,Naive Bayes,0.9186128803963199,0.9561901808076948,0.9134476701904172,0.9288859887072636
